predictor,n,mean,sd,median,min,max
digit_span,58,25.862068965517242,7.034871227545161,25,10,43
stroop_interference,57,116.27103071779938,76.51449137272726,101.62949686515253,-41.722740808057324,306.6378531082762
asrt_learning,58,44.647838300421476,55.14354249946254,15.044654749514052,-2.3834690156126612,198.4344702796002
delta,58,8.884928102871832,5.922998092319833,6.907305775823183,2.3371979994318695,31.071387829729737
theta,58,9.028046732585928,11.422473632859422,4.616269981658437,1.3328771561921808,65.15673363554946
alpha,58,48.27806524491462,49.85223355604716,30.663940597382535,1.290259096697144,224.4103887491633
beta,58,9.52131417265716,6.144501803314186,8.08881842656271,2.260934346326628,37.60169323608491
gamma,58,0.6576671142562676,0.5208028286618791,0.49897519363095344,0.13659218771084033,3.102428501891432
iaf,58,10.181034482758621,1.0869976188343202,10.5,7,12
