"participant_lab_ID","session","condition","aperiodic_offset","aperiodic_exponent","aperiodic_knee","r_squared","fit_error","n_peaks","theta_adj","alpha_adj","beta_adj","specparam_iaf","theta_raw","alpha_raw","beta_raw"
1,2,"eyes_closed",1.07926108806335,1.65762647262868,NA,0.946278354324952,0.149238969059644,1,0,0,0.616905409846388,13,4.35034332667839,4.34898240220063,4.53613675702423
3,2,"eyes_closed",1.2241244158682,1.7705865182917,NA,0.840548198798497,0.353034562318243,1,0,1.52518758895089,0,9,12.3275386350473,33.434066537028,5.66446784418811
4,2,"eyes_closed",1.81008382344747,2.00992164747906,NA,0.792453965897369,0.455743285837409,1,0,2.07607189193773,0,10.5,19.3541890306736,163.275284684856,17.6769751325131
5,2,"eyes_closed",1.08082379475826,1.80848579307455,NA,0.648264373343045,0.510891593866709,1,0,1.69093673303661,0,11.5,2.98580869957939,26.4089907346758,7.15699851422308
10,2,"eyes_closed",1.17718942925533,1.64330541346957,NA,0.628994452039485,0.591665735824804,1,0,2.31644137198312,0,10,6.51493844112534,133.863707393742,18.4120699717981
11,2,"eyes_closed",0.811423267104368,1.49863119782651,NA,0.857610790814175,0.247663391513652,1,0,0.870017076578197,0,12.0383919333918,2.77570084785653,7.86932666943984,3.86698055421099
12,2,"eyes_closed",1.05008687055105,1.45198337045758,NA,0.94252134229347,0.123603687905107,1,0,0,0.507097623521531,NA,4.17224278787334,3.78820159374704,7.09547152968921
13,2,"eyes_closed",0.77858718563306,0.945096883252707,NA,0.835989681768226,0.194011368346577,1,0,1.16122071097491,0,10.6934731939919,3.8093259290142,28.1780555942353,11.0628178843799
14,2,"eyes_closed",0.99028067680998,1.6005836628037,NA,0.814365395171885,0.345158284570798,1,0,1.62500594777702,0,10.5931130553413,2.89132571602885,36.1959193686844,4.75932361991331
15,2,"eyes_closed",0.976156589406294,1.38933241217193,NA,0.827248352148909,0.265319603461187,1,0,0.686140789141823,0,10.5,7.69907864734882,10.4110648082484,9.29980252347575
16,2,"eyes_closed",1.0301766960616,1.70444053093767,NA,0.623330248630407,0.419197856801842,1,0,1.01959472401291,0,10.5,2.52897201837642,7.2877082049436,4.73436099171215
17,2,"eyes_closed",1.29275745205977,1.19334212895239,NA,0.932234294470356,0.131298348825412,1,0,0.755765728628323,0,9.04044163263191,17.077170635719,25.4468123183373,12.355048205003
18,2,"eyes_closed",0.767377935233481,1.51887734852628,NA,0.548377229511712,0.58393088094704,1,0,1.66702501325623,0,10,5.0299556633991,33.5629213111549,11.5440369187277
19,2,"eyes_closed",0.799758003056613,1.16988192619983,NA,0.86614453563739,0.201617227793398,1,0,0.982798874392343,0,9.16844216924993,6.25111150500321,16.1034581147928,5.82983543305567
20,2,"eyes_closed",0.882914121061976,1.15826373280107,NA,0.916556741285479,0.164617968218838,1,0,0,0.915155654843868,NA,4.29381648060739,17.6954140784142,15.9930552536705
21,2,"eyes_closed",0.709172476715566,1.22867651585097,NA,0.863344410215087,0.241170889911514,1,0,1.54798563218587,0,10.5210045247945,2.20100423494595,31.2032588263042,4.92058946975577
22,2,"eyes_closed",0.888822751065868,1.56752140749736,NA,0.80397468711075,0.373277065620471,1,0,1.74741305029765,0,10.3548101200489,2.79881709523656,45.8510737361501,4.66192665317695
23,2,"eyes_closed",0.840421259625044,1.46430833194483,NA,0.868104661699287,0.207496936772673,2,0.726248812801864,0,0.531854367641575,7.20517829430861,4.67780519351273,3.38405690446468,3.71630412275343
24,2,"eyes_closed",0.816207849564837,1.02024318387845,NA,0.709724761977982,0.348820983334915,1,0,1.72134475577134,0,10.9247333274542,3.70552405164679,92.5626502333885,18.4025072145425
25,2,"eyes_closed",1.50728317578192,1.83747681991313,NA,0.774164804206367,0.427701456138405,1,0,1.84075803159889,0,10.8877879799879,6.90582323339108,114.944511812891,9.90640229608701
26,2,"eyes_closed",1.58165953055458,1.77701342557648,NA,0.848741452651998,0.353750520864092,1,0,1.03501038296593,0,12.3179856060978,26.2035814449957,127.844295755879,18.7474948652372
27,2,"eyes_closed",1.52772378942428,1.91656861555198,NA,0.88243764588477,0.325623243001306,1,0,1.69917685376222,0,9.08687729655878,20.0461619682611,86.9919212332884,5.97750654049864
28,2,"eyes_closed",0.128853851479574,0.768650890691398,NA,0.854225455855243,0.162393445685517,1,0,0,0.697725151792254,NA,1.33287715619218,4.97511818855855,7.94238478181315
29,2,"eyes_closed",1.00706219904274,1.47865936792564,NA,0.888475909845675,0.22331991532994,1,0,0.861861534554976,0,11.8695291426384,4.31661794564739,14.4563308505106,5.78961212109609
30,2,"eyes_closed",1.5196931072588,1.86781420387494,NA,0.826218586715745,0.297127256227735,1,0,1.10009478870507,0,12.4195284301156,5.4181846429039,13.6219325970983,8.23525207131227
31,2,"eyes_closed",1.46837096232834,1.83193952274009,NA,0.79254451555435,0.371273457561436,1,0,1.27817020713282,0,11.0764350855316,5.41069753599242,38.0441420613258,8.42437688475584
32,2,"eyes_closed",1.20083736361605,1.68380222765677,NA,0.755652479413864,0.401128085731587,1,0,1.11834219548097,0,12.2683360046434,7.06044342072672,46.6810373614047,9.69830758078708
33,2,"eyes_closed",1.08399209055215,1.49230508201806,NA,0.787125449056157,0.349285476178053,1,0,1.779042618686,0,10.2623918916236,4.55473476980414,68.396098910651,7.67062853326339
34,2,"eyes_closed",1.24570398340401,1.53524376316224,NA,0.856862511625396,0.286224013447827,1,0,1.30072734191786,0,11.0986190576555,6.52416354180778,45.6681023060855,9.22408178704421
35,2,"eyes_closed",0.551134296565795,0.930182410134385,NA,0.877779541623112,0.188987297817906,1,0,1.30964656859899,0,11.2367877471035,3.16479697133142,26.795940117146,7.66790579178363
36,2,"eyes_closed",1.2616423637173,1.63117562458699,NA,0.868779796645606,0.288463393613524,1,0,1.6646597030288,0,8.7778692036396,10.6175690264806,58.3881478470352,6.16356551652757
