"parameter","median_inf","ci_low_inf","ci_high_inf","pd_inf","median_weak","ci_low_weak","ci_high_weak","pd_weak","median_shift","ci_width_inf","ci_width_weak","model"
"Intercept",2.555119,2.13769821,2.9523964475,1,2.59613655,2.1670123825,3.0265812975,1,-0.0410175499999998,0.8146982375,0.859568915,"p2_predictive_trajectory_gender"
"z_alpha",0.00887453225,-0.3803107735,0.397461943,0.5175,0.00551190175,-0.858807256249999,0.85599819525,0.50553125,0.0033626305,0.7777727165,1.7148054515,"p2_predictive_trajectory_gender"
"z_asrt",0.0162496825,-0.2681135895,0.30293540875,0.547,-0.0158982555,-0.484023646,0.4501196745,0.52690625,0.032147938,0.57104899825,0.9341433205,"p2_predictive_trajectory_gender"
"z_beta",-0.0863745725,-0.47039881125,0.30959664375,0.6705,-0.0659006475,-0.93523727675,0.821103178,0.5590625,-0.020473925,0.779995455,1.75634045475,"p2_predictive_trajectory_gender"
"z_delta",-0.0255077235,-0.408876913,0.3542034525,0.55175,0.00476339455,-0.82470453625,0.840593569249999,0.5041875,-0.03027111805,0.7630803655,1.6652981055,"p2_predictive_trajectory_gender"
"z_digit_span",0.425912255,0.0871556373750001,0.741416122,0.99475,0.656898855,0.1687334455,1.1354304725,0.995625,-0.2309866,0.654260484625,0.966697027,"p2_predictive_trajectory_gender"
"z_gamma",-0.137197155,-0.445229794,0.19422779675,0.801125,-0.255676265,-0.75143976075,0.233401407,0.85090625,0.11847911,0.63945759075,0.98484116775,"p2_predictive_trajectory_gender"
"z_iaf",0.26572538,-0.0427937414999999,0.582746773,0.95325,0.46945126,0.00649042186250016,0.942155173499999,0.976375,-0.20372588,0.6255405145,0.935664751637499,"p2_predictive_trajectory_gender"
"z_session_time",-0.409587145,-0.559537043,-0.2572844275,1,-0.41470178,-0.571705213,-0.25447735875,1,0.00511463499999998,0.3022526155,0.31722785425,"p2_predictive_trajectory_gender"
"z_session_time:z_alpha",0.0815466095,-0.106380066,0.26435071575,0.8015,0.16010164,-0.15095150525,0.4772464385,0.846125,-0.0785550305,0.37073078175,0.62819794375,"p2_predictive_trajectory_gender"
"z_session_time:z_asrt",0.10560066,-0.0190822216,0.23138254825,0.953375,0.13157521,-0.0209987558,0.2911085405,0.955375,-0.02597455,0.25046476985,0.3121072963,"p2_predictive_trajectory_gender"
"z_session_time:z_beta",0.059043251,-0.12645801725,0.24764423225,0.7305,0.081337531,-0.23070419375,0.38797507425,0.69878125,-0.02229428,0.3741022495,0.618679268,"p2_predictive_trajectory_gender"
"z_session_time:z_delta",-0.10857254,-0.28885284025,0.0725925543,0.871125,-0.159871335,-0.45432143125,0.13066580525,0.86221875,0.051298795,0.36144539455,0.5849872365,"p2_predictive_trajectory_gender"
"z_session_time:z_digit_span",0.0455822785,-0.0846320647,0.17605106175,0.75475,0.067804131,-0.09702643685,0.235178879,0.7965,-0.0222218525,0.26068312645,0.33220531585,"p2_predictive_trajectory_gender"
"z_session_time:z_gamma",0.0086059325,-0.11489421425,0.13394034,0.559875,0.012978289,-0.15562946625,0.181905417,0.562375,-0.0043723565,0.24883455425,0.33753488325,"p2_predictive_trajectory_gender"
"z_session_time:z_iaf",0.035073758,-0.094072585625,0.1670953935,0.703125,0.0278856105,-0.1352358335,0.19405440975,0.6329375,0.0071881475,0.261167979125,0.32929024325,"p2_predictive_trajectory_gender"
"z_session_time:z_stroop",0.0625356255,-0.052325233725,0.1765033385,0.853375,0.0944015815,-0.054625055525,0.2516073465,0.89471875,-0.031865956,0.228828572225,0.306232402025,"p2_predictive_trajectory_gender"
"z_session_time:z_theta",-0.0671055445,-0.25826610175,0.129529716,0.74875,-0.101062055,-0.448377538,0.246787685999999,0.72171875,0.0339565105,0.38779581775,0.695165223999999,"p2_predictive_trajectory_gender"
"z_stroop",0.014768337,-0.238289657,0.25979352875,0.544375,0.092844943,-0.35587551375,0.550121407,0.6588125,-0.078076606,0.49808318575,0.90599692075,"p2_predictive_trajectory_gender"
"z_theta",-0.048183569,-0.43645818325,0.341687171,0.602375,-0.0027211302,-0.969451406749999,0.968985562,0.5024375,-0.0454624388,0.77814535425,1.93843696875,"p2_predictive_trajectory_gender"
"grammatical_propertygender_agreement",0.668629485,0.58858638875,0.748743325,1,0.670424995,0.589297278,0.7506292615,1,-0.00179551,0.16015693625,0.1613319835,"p2_predictive_trajectory"
"grammatical_propertyverb_object_number_agreement",-0.25977381,-0.38934704775,-0.13113927125,1,-0.26252457,-0.39003354725,-0.13339487225,0.99996875,0.00275075999999996,0.2582077765,0.256638675,"p2_predictive_trajectory"
"Intercept",1.7110638,1.36711853,2.0480019,1,1.7259322,1.3511950475,2.09503012,1,-0.0148683999999999,0.68088337,0.7438350725,"p2_predictive_trajectory"
"z_alpha",0.12579207,-0.23848541875,0.48309082425,0.75825,0.403949035,-0.3365204645,1.13771848,0.85896875,-0.278156965,0.721576243,1.4742389445,"p2_predictive_trajectory"
"z_asrt",0.01190395,-0.2468085975,0.271316814,0.534,0.0014273787,-0.4015226265,0.4077842435,0.50275,0.0104765713,0.5181254115,0.80930687,"p2_predictive_trajectory"
"z_beta",-0.0447085935,-0.41688788125,0.33083240775,0.59225,-0.24249932,-1.0077021375,0.54177770625,0.7360625,0.1977907265,0.747720289,1.54947984375,"p2_predictive_trajectory"
"z_delta",-0.141433985,-0.496372869,0.217966113,0.776375,-0.260666425,-0.99921021075,0.482928346249997,0.755375,0.11923244,0.714338982,1.482138557,"p2_predictive_trajectory"
"z_digit_span",0.28991373,-0.00365646251999998,0.56314550275,0.97275,0.41849406,0.00285395960000011,0.835524265,0.97575,-0.12858033,0.56680196527,0.8326703054,"p2_predictive_trajectory"
"z_gamma",-0.12091641,-0.4062998415,0.1583771475,0.803375,-0.159949365,-0.596657561,0.2759848385,0.77003125,0.039032955,0.564676989,0.8726423995,"p2_predictive_trajectory"
"z_iaf",-0.0021666718,-0.2840363115,0.29014923425,0.50625,0.075672939,-0.32127819325,0.47706292825,0.64984375,-0.0778396108,0.57418554575,0.7983411215,"p2_predictive_trajectory"
"z_session_time",-1.158819,-1.368102915,-0.95671863725,1,-1.17601205,-1.39985462,-0.959913342,1,0.0171930499999999,0.41138427775,0.439941278,"p2_predictive_trajectory"
"z_session_time:grammatical_propertygender_agreement",0.42530529,0.339235173,0.51059791325,1,0.42489984,0.339784877,0.509910823,1,0.000405449999999974,0.17136274025,0.170125946,"p2_predictive_trajectory"
"z_session_time:grammatical_propertyverb_object_number_agreement",0.1992614,0.0610569515000001,0.344559261,0.99725,0.20219097,0.059753653325,0.34341142675,0.99725,-0.00292957000000002,0.2835023095,0.283657773425,"p2_predictive_trajectory"
"z_session_time:z_alpha",-0.0276373865,-0.237234806,0.18980199675,0.604375,-0.1891493,-0.63891964625,0.261151305749999,0.7976875,0.1615119135,0.42703680275,0.900070951999999,"p2_predictive_trajectory"
"z_session_time:z_asrt",0.071860929,-0.096540979275,0.2352610795,0.806125,0.0739286645,-0.16135985575,0.30390989375,0.73784375,-0.00206773550000001,0.331802058775,0.4652697495,"p2_predictive_trajectory"
"z_session_time:z_beta",0.0931554535,-0.1246740345,0.31212539325,0.7965,0.264891395,-0.19872041775,0.722590125,0.87065625,-0.1717359415,0.43679942775,0.921310542749999,"p2_predictive_trajectory"
"z_session_time:z_delta",-0.0716389285,-0.28582049625,0.14168973425,0.73925,-0.14353624,-0.57099012675,0.293129694249999,0.74734375,0.0718973115,0.4275102305,0.864119820999999,"p2_predictive_trajectory"
"z_session_time:z_digit_span",-0.09985924,-0.266550049,0.0710684349,0.875625,-0.16894718,-0.4088693925,0.0727426963749999,0.91853125,0.06908794,0.3376184839,0.481612088875,"p2_predictive_trajectory"
"z_session_time:z_gamma",0.0639459605,-0.10171637825,0.22638019975,0.776125,0.073302005,-0.17589926275,0.32213981475,0.725875,-0.00935604450000001,0.328096578,0.4980390775,"p2_predictive_trajectory"
"z_session_time:z_iaf",-0.1063783,-0.268261856,0.067446536725,0.885625,-0.172699725,-0.4023457655,0.0563302162249996,0.93159375,0.066321425,0.335708392725,0.458675981725,"p2_predictive_trajectory"
"z_session_time:z_stroop",0.0219284815,-0.11459000775,0.15655927475,0.628125,-0.00390624425,-0.23007320775,0.22508011725,0.51390625,0.02583472575,0.2711492825,0.455153325,"p2_predictive_trajectory"
"z_session_time:z_theta",0.019097243,-0.201732107,0.243619058,0.562625,0.0401341305,-0.470886855,0.56010329175,0.56015625,-0.0210368875,0.445351165,1.03099014675,"p2_predictive_trajectory"
"z_stroop",0.058197085,-0.17140667225,0.2787635585,0.688625,0.15551608,-0.2414301435,0.5451448385,0.78834375,-0.097318995,0.45017023075,0.786574982,"p2_predictive_trajectory"
"z_theta",0.013785652,-0.37596516025,0.38856789275,0.526,0.11806126,-0.74557474025,0.96982444225,0.6071875,-0.104275608,0.764533053,1.7153991825,"p2_predictive_trajectory"
