"participant_lab_ID","predictor","value"
24,"digit_span",27
24,"stroop_interference",76.4371939643104
24,"asrt_learning",22.7013942710857
24,"delta",6.16488361725834
24,"theta",3.70552405164679
24,"alpha",92.5626502333885
24,"beta",18.4025072145425
24,"gamma",1.73369860469899
24,"iaf",10.5
56,"digit_span",30
56,"stroop_interference",1.82653842094624
56,"asrt_learning",56.3751033840398
56,"delta",25.3943874823784
56,"theta",36.3868996210866
56,"alpha",184.839165904427
56,"beta",21.7183608747915
56,"gamma",0.587079893510199
56,"iaf",10
40,"digit_span",15
40,"stroop_interference",170.221969939156
40,"asrt_learning",158.737314148833
40,"delta",13.4373564545928
40,"theta",16.9080169688228
40,"alpha",64.1930959714815
40,"beta",13.5258906002615
40,"gamma",0.465269969278708
40,"iaf",10.5
46,"digit_span",18
46,"stroop_interference",103.58
46,"asrt_learning",92.5581052107577
46,"delta",4.48913368417302
46,"theta",3.09857985615141
46,"alpha",24.2323910486099
46,"beta",8.6993023358577
46,"gamma",0.268087727817395
46,"iaf",11.5
34,"digit_span",21
34,"stroop_interference",71.802730696733
34,"asrt_learning",73.2546243213682
34,"delta",8.86273358202744
34,"theta",6.52416354180778
34,"alpha",45.6681023060855
34,"beta",9.22408178704421
34,"gamma",0.75482093053248
34,"iaf",10.5
41,"digit_span",31
41,"stroop_interference",-41.7227408080573
41,"asrt_learning",8.91010625713739
41,"delta",5.68504940616386
41,"theta",2.31000203140194
41,"alpha",1.29025909669714
41,"beta",2.26093434632663
41,"gamma",0.464396472644619
41,"iaf",7
10,"digit_span",22
10,"stroop_interference",62.2716270016614
10,"asrt_learning",30.5942584535675
10,"delta",6.53341814290548
10,"theta",6.51493844112534
10,"alpha",133.863707393742
10,"beta",18.4120699717981
10,"gamma",0.339325362621687
10,"iaf",10
23,"digit_span",30
23,"stroop_interference",142.799270557009
23,"asrt_learning",134.732494314019
23,"delta",3.56240078749769
23,"theta",4.67780519351273
23,"alpha",3.38405690446468
23,"beta",3.71630412275343
23,"gamma",0.445487716821243
23,"iaf",7
54,"digit_span",37
54,"stroop_interference",180.526181346612
54,"asrt_learning",9.59139628528931
54,"delta",6.37078639359423
54,"theta",3.58153067300775
54,"alpha",37.2500927235087
54,"beta",9.87442509611205
54,"gamma",0.327384850203973
54,"iaf",10.5
9,"digit_span",24
9,"stroop_interference",103.511135149622
9,"asrt_learning",4.22492708312183
13,"digit_span",36
13,"stroop_interference",36.424432523915
13,"asrt_learning",-2.38346901561266
13,"delta",6.77159792764928
13,"theta",3.8093259290142
13,"alpha",28.1780555942353
13,"beta",11.0628178843799
13,"gamma",2.20428968036334
13,"iaf",10.5
14,"digit_span",37
14,"stroop_interference",277.256798959216
14,"asrt_learning",7.6525176673249
14,"delta",4.14294194042982
14,"theta",2.89132571602885
14,"alpha",36.1959193686844
14,"beta",4.75932361991331
14,"gamma",0.308277106872928
14,"iaf",10
43,"digit_span",10
43,"stroop_interference",147.736499674633
43,"asrt_learning",4.24212315541058
43,"delta",8.93040463515351
43,"theta",11.2002571804575
43,"alpha",68.3597538025503
43,"beta",11.7359108327149
43,"gamma",0.263284301678383
43,"iaf",9
12,"digit_span",18
12,"stroop_interference",184.582826233942
12,"asrt_learning",44.2584085458906
12,"delta",8.57405902250497
12,"theta",4.17224278787334
12,"alpha",3.78820159374704
12,"beta",7.09547152968921
12,"gamma",0.781697259884934
12,"iaf",7
39,"digit_span",38
39,"stroop_interference",62.3409748442892
39,"asrt_learning",11.8300341045957
39,"delta",20.4562245372405
39,"theta",34.7045081644862
39,"alpha",53.2810988099716
39,"beta",6.00223351073532
39,"gamma",0.599218387021014
39,"iaf",8.5
32,"digit_span",35
32,"stroop_interference",87.138703700293
32,"asrt_learning",22.3242275000653
32,"delta",6.83752331135801
32,"theta",7.06044342072672
32,"alpha",46.6810373614047
32,"beta",9.69830758078708
32,"gamma",0.448156842961937
32,"iaf",11
15,"digit_span",23
15,"stroop_interference",84.1406779663248
15,"asrt_learning",67.9749257403663
15,"delta",9.90421605663079
15,"theta",7.69907864734882
15,"alpha",10.4110648082484
15,"beta",9.29980252347575
15,"gamma",0.719926586596926
15,"iaf",9
8,"digit_span",30
8,"stroop_interference",69.0861965995954
8,"asrt_learning",14.6064830227469
37,"digit_span",21
37,"stroop_interference",101.629496865153
37,"asrt_learning",12.1456896516077
37,"delta",6.84394940822253
37,"theta",3.20700878134144
37,"alpha",19.0461613725372
37,"beta",3.20758885755151
37,"gamma",0.214476789308779
37,"iaf",10.5
