"participant_lab_ID","predictor","value"
38,"digit_span",25
38,"stroop_interference",164.701855343861
38,"asrt_learning",8.21850218531972
38,"delta",3.991723686692
38,"theta",2.55843203851755
38,"alpha",8.95712758440478
38,"beta",4.43468085595091
38,"gamma",1.0628807468704
38,"iaf",9.5
55,"digit_span",32
55,"stroop_interference",66.0219029377038
55,"asrt_learning",7.08892019427901
55,"delta",6.55551720270394
55,"theta",2.99007852719632
55,"alpha",13.327714764027
55,"beta",8.7260429903608
55,"gamma",0.396565327539862
55,"iaf",11.5
6,"digit_span",23
6,"stroop_interference",-47.9021426287177
6,"asrt_learning",42.8903636875014
48,"digit_span",30
48,"stroop_interference",191.394639373174
48,"asrt_learning",102.47932056549
48,"delta",9.02243081900848
48,"theta",3.20249412094033
48,"alpha",6.74487532004811
48,"beta",4.44919023508165
48,"gamma",0.624773968215812
48,"iaf",11
17,"digit_span",26
17,"stroop_interference",209.332638198041
17,"asrt_learning",10.9699206515187
17,"delta",15.1812350305697
17,"theta",17.077170635719
17,"alpha",25.4468123183373
17,"beta",12.355048205003
17,"gamma",3.10242850189143
17,"iaf",10
44,"digit_span",32
44,"stroop_interference",54.8176138256032
44,"asrt_learning",9.0144744535632
44,"delta",9.06303635443459
44,"theta",3.92314192578287
44,"alpha",54.5688585598195
44,"beta",5.67989805447769
44,"gamma",0.265004470373366
44,"iaf",11
60,"digit_span",24
60,"stroop_interference",83.1831761006187
60,"asrt_learning",67.9035418091491
60,"delta",2.33719799943187
60,"theta",5.43046549664887
60,"alpha",26.1085504746804
60,"beta",4.00538889159676
60,"gamma",0.13659218771084
60,"iaf",9
59,"digit_span",14
59,"stroop_interference",57.5740426860361
59,"asrt_learning",177.728763913319
59,"delta",31.0713878297297
59,"theta",41.6281057785278
59,"alpha",177.645838632644
59,"beta",24.1776923081759
59,"gamma",0.511290523214171
59,"iaf",9.5
45,"digit_span",28
45,"stroop_interference",173.512610062737
45,"asrt_learning",5.25809723443314
45,"delta",11.9609944010477
45,"theta",15.6546120111233
45,"alpha",96.5209237245146
45,"beta",12.9373966043051
45,"gamma",0.340352172175135
45,"iaf",10
33,"digit_span",18
33,"stroop_interference",212.939924674407
33,"asrt_learning",1.30262299237057
33,"delta",7.48483751476341
33,"theta",4.55473476980414
33,"alpha",68.396098910651
33,"beta",7.67062853326339
33,"gamma",0.587943901903693
33,"iaf",10.5
57,"digit_span",23
57,"stroop_interference",227.913825613148
57,"asrt_learning",120.242328087827
57,"delta",5.56530705116646
57,"theta",5.32236162614791
57,"alpha",34.2070868982034
57,"beta",16.6661484478078
57,"gamma",0.805588623050454
57,"iaf",11
52,"digit_span",15
52,"stroop_interference",9.17715685040343
52,"asrt_learning",0.655275447181623
52,"delta",24.5055188050813
52,"theta",65.1567336355495
52,"alpha",224.410388749163
52,"beta",37.6016932360849
52,"gamma",1.36779701279063
52,"iaf",9
25,"digit_span",34
25,"stroop_interference",187.752718830516
25,"asrt_learning",9.03752738893172
25,"delta",6.39128355388053
25,"theta",6.90582323339108
25,"alpha",114.944511812891
25,"beta",9.90640229608701
25,"gamma",0.439577749856982
25,"iaf",11
NA,"digit_span",19
NA,"stroop_interference",85.6240115719296
NA,"asrt_learning",162.794254607571
50,"digit_span",22
50,"stroop_interference",231.470006519699
50,"asrt_learning",17.1884388291375
50,"delta",9.66710874630189
50,"theta",8.4119012692524
50,"alpha",55.9006386440951
50,"beta",6.8131773716018
50,"gamma",0.576300907098936
50,"iaf",11
7,"digit_span",27
7,"stroop_interference",110.417963007644
7,"asrt_learning",60.7380518271586
4,"digit_span",34
4,"stroop_interference",126.218148147177
4,"asrt_learning",80.7810494639326
4,"delta",15.4223780016643
4,"theta",19.3541890306736
4,"alpha",163.275284684856
4,"beta",17.6769751325131
4,"gamma",0.486659864047736
4,"iaf",10.5
27,"digit_span",32
27,"stroop_interference",118.358426595214
27,"asrt_learning",92.1738543467403
27,"delta",9.31441062964377
27,"theta",20.0461619682611
27,"alpha",86.9919212332884
27,"beta",5.97750654049864
27,"gamma",0.33354478471679
27,"iaf",9.5
28,"digit_span",26
28,"stroop_interference",197.988559320467
28,"asrt_learning",12.7894387041209
28,"delta",3.90083063815554
28,"theta",1.33287715619218
28,"alpha",4.97511818855855
28,"beta",7.94238478181315
28,"gamma",1.08666893934475
28,"iaf",11
58,"digit_span",22
58,"stroop_interference",306.637853108276
58,"asrt_learning",5.0858936391009
58,"delta",5.40314597285533
58,"theta",3.90321468226477
58,"alpha",21.6580121632394
58,"beta",5.29414118742615
58,"gamma",0.285811278001854
58,"iaf",11
2,"digit_span",31
2,"stroop_interference",121.567380394673
2,"asrt_learning",-0.952706729917338
65,"digit_span",25
65,"stroop_interference",145.819805398837
65,"asrt_learning",32.0937312215108
65,"delta",6.1860569307723
65,"theta",2.79439728520072
65,"alpha",4.86453185002986
65,"beta",6.45006215039613
65,"gamma",0.296663091340552
65,"iaf",11
16,"digit_span",29
16,"stroop_interference",91.9595103537371
16,"asrt_learning",22.7922418177492
16,"delta",5.09351601430756
16,"theta",2.52897201837642
16,"alpha",7.2877082049436
16,"beta",4.73436099171215
16,"gamma",0.300906219520244
16,"iaf",10.5
49,"digit_span",24
49,"stroop_interference",109.635624617207
49,"asrt_learning",10.2641521817046
49,"delta",7.79187840745853
49,"theta",3.49259528155997
49,"alpha",20.7096839673449
49,"beta",3.69111517180196
49,"gamma",0.386784701385618
49,"iaf",10.5
47,"digit_span",25
47,"stroop_interference",80.2598742135852
47,"asrt_learning",7.98077884493455
47,"delta",7.32108413353279
47,"theta",4.30976468060817
47,"alpha",30.1246223684608
47,"beta",7.8875344608247
47,"gamma",0.835064924393829
47,"iaf",11.5
53,"digit_span",21
53,"stroop_interference",173.322162673164
53,"asrt_learning",20.8286351951253
53,"delta",6.39520682636411
53,"theta",4.72548608041793
53,"alpha",13.690655975413
53,"beta",11.4014449803843
53,"gamma",0.655976546248151
53,"iaf",10
51,"digit_span",23
51,"stroop_interference",4.13001277198771
51,"asrt_learning",148.538501892202
51,"delta",11.0197879077236
51,"theta",8.79810718869642
51,"alpha",7.82058762156369
51,"beta",11.4337173814968
51,"gamma",0.690714878130621
51,"iaf",10.5
NA,"digit_span",24
NA,"stroop_interference",122.869555483392
NA,"asrt_learning",28.1059255941602
NA,"digit_span",24
NA,"stroop_interference",28.1227374475498
NA,"asrt_learning",22.4213573476937
35,"digit_span",20
35,"stroop_interference",127.235220118476
35,"asrt_learning",17.2221378365111
35,"delta",3.39284021392095
35,"theta",3.16479697133142
35,"alpha",26.795940117146
35,"beta",7.66790579178363
35,"gamma",1.35984298481179
35,"iaf",11.5
29,"digit_span",27
29,"stroop_interference",46.7449312439632
29,"asrt_learning",12.918298810758
29,"delta",6.97066214342383
29,"theta",4.31661794564738
29,"alpha",14.4563308505106
29,"beta",5.78961212109609
29,"gamma",0.53197122734225
29,"iaf",10
61,"digit_span",29
61,"stroop_interference",82.1309561880498
61,"asrt_learning",3.74699207623024
61,"delta",8.42570139777375
61,"theta",3.58505183027876
61,"alpha",90.9859554896054
61,"beta",8.35329875514369
61,"gamma",0.996357952409438
61,"iaf",11
11,"digit_span",28
11,"stroop_interference",74.5569366111145
11,"asrt_learning",6.99900739626139
11,"delta",3.63145584841147
11,"theta",2.77570084785653
11,"alpha",7.86932666943984
11,"beta",3.86698055421099
11,"gamma",0.331220794129965
11,"iaf",11
20,"digit_span",19
20,"stroop_interference",298.577149758409
20,"asrt_learning",46.3554484257094
20,"delta",9.03147442593559
20,"theta",4.29381648060739
20,"alpha",17.6954140784142
20,"beta",15.9930552536705
20,"gamma",1.43833269415142
20,"iaf",11
22,"digit_span",43
22,"stroop_interference",43.7966666007653
22,"asrt_learning",7.7981887156451
22,"delta",3.28556314216877
22,"theta",2.79881709523656
22,"alpha",45.8510737361501
22,"beta",4.66192665317695
22,"gamma",0.275946431965245
22,"iaf",9.5
3,"digit_span",32
3,"stroop_interference",86.7091246599794
3,"asrt_learning",10.2876788575181
3,"delta",8.3240150083796
3,"theta",12.3275386350473
3,"alpha",33.434066537028
3,"beta",5.66446784418811
3,"gamma",0.293028207206136
3,"iaf",9
62,"digit_span",27
62,"stroop_interference",-8.37327249064765
62,"asrt_learning",8.36114163003799
62,"delta",9.69346265268886
62,"theta",4.11012318002769
62,"alpha",18.4252224318476
62,"beta",8.51275346000105
62,"gamma",0.664093591292332
62,"iaf",11
30,"digit_span",20
30,"stroop_interference",95.2830497987391
30,"asrt_learning",77.1198369658703
30,"delta",12.5019867649906
30,"theta",5.4181846429039
30,"alpha",13.6219325970983
30,"beta",8.23525207131227
30,"gamma",0.468514716928895
30,"iaf",11.5
42,"digit_span",22
42,"stroop_interference",153.80084905686
42,"asrt_learning",190.066614790212
42,"delta",9.64826560357302
42,"theta",3.64747842302088
42,"alpha",57.6181633525291
42,"beta",9.05426794175882
42,"gamma",1.07042533339968
42,"iaf",10.5
26,"digit_span",34
26,"stroop_interference",59.958518514589
26,"asrt_learning",4.23793146885362
26,"delta",25.5538942371797
26,"theta",26.2035814449957
26,"alpha",127.844295755879
26,"beta",18.7474948652372
26,"gamma",0.779090050856361
26,"iaf",9.5
64,"digit_span",18
64,"stroop_interference",38.3831147362257
64,"asrt_learning",98.9268810078826
64,"delta",6.21827285438499
64,"theta",4.97026127727048
64,"alpha",19.9988020909889
64,"beta",7.08667008205166
64,"gamma",0.140228741129516
64,"iaf",12
31,"digit_span",23
31,"stroop_interference",18.6466861460176
31,"asrt_learning",198.4344702796
31,"delta",9.18396683603566
31,"theta",5.41069753599242
31,"alpha",38.0441420613258
31,"beta",8.42437688475584
31,"gamma",0.429499247368173
31,"iaf",11
21,"digit_span",24
21,"stroop_interference",170.829595827921
21,"asrt_learning",-0.668057799236919
21,"delta",4.06394680576688
21,"theta",2.20100423494595
21,"alpha",31.2032588263042
21,"beta",4.92058946975577
21,"gamma",0.631300775552291
21,"iaf",10.5
36,"digit_span",27
36,"stroop_interference",92.7038920276085
36,"asrt_learning",17.1710106882701
36,"delta",6.6742464965433
36,"theta",10.6175690264806
36,"alpha",58.3881478470352
36,"beta",6.16356551652757
36,"gamma",0.53074865918263
36,"iaf",9
19,"digit_span",39
19,"stroop_interference",154.449591203606
19,"asrt_learning",7.65639369278506
19,"delta",5.47849730085476
19,"theta",6.25111150500321
19,"alpha",16.1034581147928
19,"beta",5.82983543305567
19,"gamma",1.15084918632316
19,"iaf",9.5
63,"digit_span",19
63,"stroop_interference",118.900470811151
63,"asrt_learning",3.50175565892135
63,"delta",4.94192995841744
63,"theta",3.95093230324601
63,"alpha",26.4269653928363
63,"beta",5.11216890026342
63,"gamma",0.261367518800625
63,"iaf",10
18,"digit_span",16
18,"asrt_learning",153.523625867227
18,"delta",4.69870742904698
18,"theta",5.0299556633991
18,"alpha",33.5629213111549
18,"beta",11.5440369187277
18,"gamma",0.291104711374213
18,"iaf",10
1,"delta",7.27101540382278
1,"theta",4.35034332667839
1,"alpha",4.34898240220063
1,"beta",4.53613675702423
1,"gamma",0.383219868793861
1,"iaf",11.5
5,"delta",5.23628985325688
5,"theta",2.98580869957939
5,"alpha",26.4089907346758
5,"beta",7.15699851422308
5,"gamma",0.228339095889686
5,"iaf",11
