participant_home_ID,session,task,duration_min,n_events,participant_lab_ID,language
sxhv6,1,digit_span,12.022933333333333,580,53,Mini-English
trpu0,1,digit_span,9.48525,583,51,Mini-English
uicn9,1,digit_span,10.286516666666667,583,35,Mini-English
usjs8,1,digit_span,11.60375,587,29,Mini-English
uwfo3,1,digit_span,12.401966666666667,588,61,Mini-English
uyxx3,1,digit_span,11.681116666666666,583,11,Mini-English
wbij5,1,digit_span,9.074016666666667,584,20,Mini-Norwegian
wjob1,1,digit_span,12.911016666666667,583,22,Mini-Norwegian
xqls8,1,digit_span,13.056116666666666,589,3,Mini-English
ymoq6,1,digit_span,13.157783333333333,585,62,Mini-Norwegian
yozx4,1,digit_span,13.826566666666666,592,30,Mini-Norwegian
yzud1,1,digit_span,11.980466666666667,585,42,Mini-Norwegian
zhao8,1,digit_span,10.055016666666667,584,26,Mini-Norwegian
zkmg5,1,digit_span,12.510316666666666,585,64,Mini-Norwegian
zllv8,1,digit_span,12.825816666666666,585,31,Mini-English
ztwr3,1,digit_span,12.718766666666667,589,21,Mini-English
zuff1,1,digit_span,10.341,583,36,Mini-Norwegian
zuwa4,1,digit_span,10.612283333333334,584,19,Mini-English
zygb0,1,digit_span,14.13425,586,63,Mini-English
ahsw7,1,asrt,81.90976666666667,2181,24,Mini-Norwegian
awfh6,1,asrt,40.312533333333334,2508,56,Mini-Norwegian
bder6,1,asrt,34.46196666666667,2658,40,Mini-Norwegian
bdjk0,1,asrt,40.126083333333334,2780,46,Mini-Norwegian
cgju5,1,asrt,60.333983333333336,3084,34,Mini-Norwegian
chkk1,1,asrt,36.97045,2369,41,Mini-English
crar9,1,asrt,36.8665,2311,10,Mini-Norwegian
dbrb5,1,asrt,49.210816666666666,2852,23,Mini-English
dzyb1,1,asrt,78.89501666666666,4576,54,Mini-Norwegian
exdq7,1,asrt,36.127116666666666,2401,9,Mini-English
ezje7,1,asrt,35.82615,2365,13,Mini-English
finc3,1,asrt,37.358466666666665,2452,14,Mini-Norwegian
fkft1,1,asrt,57.208466666666666,3370,43,Mini-English
fqrf6,1,asrt,34.92601666666667,2411,12,Mini-Norwegian
fwma9,1,asrt,34.93765,2455,39,Mini-English
gjop6,1,asrt,36.80175,2371,32,Mini-Norwegian
gxac7,1,asrt,36.2672,2454,15,Mini-English
hcqa8,1,asrt,38.311816666666665,2444,8,Mini-Norwegian
hymj4,1,asrt,38.48435,2355,37,Mini-English
idyh6,1,asrt,37.92928333333333,2496,38,Mini-Norwegian
jlos1,1,asrt,35.1444,2476,55,Mini-English
jpxp4,1,asrt,38.805816666666665,2422,6,Mini-Norwegian
kixs9,1,asrt,41.3652,2388,48,Mini-Norwegian
ksjo8,1,asrt,36.94798333333333,2464,17,Mini-English
kvrn1,1,asrt,36.174733333333336,2457,44,Mini-Norwegian
kwly7,1,asrt,1237.6348833333334,9006,60,Mini-Norwegian
ltsl3,1,asrt,42.702016666666665,2878,18,Mini-Norwegian
mhbu4,1,asrt,2644.0018333333333,17538,59,Mini-English
monr7,1,asrt,36.96625,2405,45,Mini-English
mrbf1,1,asrt,34.896883333333335,2369,33,Mini-English
mtjw7,1,asrt,36.875616666666666,2557,57,Mini-English
mvse0,1,asrt,37.41076666666667,2479,52,Mini-Norwegian
noyy6,1,asrt,34.37753333333333,2382,25,Mini-English
pwck3,1,asrt,38.68986666666667,2299,50,Mini-Norwegian
qdvg4,1,asrt,39.03306666666667,2501,7,Mini-English
qgsl9,1,asrt,38.921366666666664,2541,4,Mini-Norwegian
qlhb2,1,asrt,36.42693333333333,2449,27,Mini-English
rlgy8,1,asrt,36.30466666666667,2343,28,Mini-Norwegian
rodf4,1,asrt,36.69963333333333,2411,58,Mini-Norwegian
rqed8,1,asrt,36.9201,2477,2,Mini-Norwegian
rsnb6,1,asrt,802.4112166666666,6214,65,Mini-English
rvax5,1,asrt,35.74811666666667,2381,16,Mini-Norwegian
sjnh6,1,asrt,35.66413333333333,2381,49,Mini-English
swbd5,1,asrt,37.38956666666667,2428,47,Mini-English
sxhv6,1,asrt,35.617866666666664,2445,53,Mini-English
trpu0,1,asrt,76.78541666666666,3485,51,Mini-English
uicn9,1,asrt,36.72473333333333,2317,35,Mini-English
usjs8,1,asrt,36.45118333333333,2386,29,Mini-English
uwfo3,1,asrt,35.89545,2454,61,Mini-English
uyxx3,1,asrt,35.41106666666666,2396,11,Mini-English
wbij5,1,asrt,36.1404,2587,20,Mini-Norwegian
wjob1,1,asrt,37.10541666666666,2442,22,Mini-Norwegian
xqls8,1,asrt,35.51023333333333,2426,3,Mini-English
ymoq6,1,asrt,36.940783333333336,2472,62,Mini-Norwegian
yozx4,1,asrt,37.881766666666664,2544,30,Mini-Norwegian
yzud1,1,asrt,40.0537,2585,42,Mini-Norwegian
zhao8,1,asrt,34.83363333333333,2382,26,Mini-Norwegian
zkmg5,1,asrt,39.928066666666666,2520,64,Mini-Norwegian
zllv8,1,asrt,36.348483333333334,2708,31,Mini-English
ztwr3,1,asrt,35.66513333333333,2372,21,Mini-English
zuff1,1,asrt,36.61018333333333,2527,36,Mini-Norwegian
zuwa4,1,asrt,35.473416666666665,2464,19,Mini-English
zygb0,1,asrt,37.283316666666664,2482,63,Mini-English
ahsw7,5,stroop,4.23645,237,24,Mini-Norwegian
awfh6,5,stroop,3.624633333333333,237,56,Mini-Norwegian
bder6,5,stroop,3.249833333333333,237,40,Mini-Norwegian
cgju5,5,stroop,3.262983333333333,237,34,Mini-Norwegian
chkk1,5,stroop,4.332916666666667,237,41,Mini-English
crar9,5,stroop,3.9693833333333335,233,10,Mini-Norwegian
dbrb5,5,stroop,3.2609666666666666,237,23,Mini-English
dzyb1,5,stroop,6.331433333333333,237,54,Mini-Norwegian
exdq7,5,stroop,5.377933333333333,237,9,Mini-English
ezje7,5,stroop,2.66105,237,13,Mini-English
finc3,5,stroop,3.6978333333333335,237,14,Mini-Norwegian
fkft1,5,stroop,4.84395,237,43,Mini-English
fqrf6,5,stroop,3.2965333333333335,229,12,Mini-Norwegian
fwma9,5,stroop,3.0351333333333335,237,39,Mini-English
gjop6,5,stroop,4.049566666666666,237,32,Mini-Norwegian
gxac7,5,stroop,7.820766666666667,237,15,Mini-English
hcqa8,5,stroop,4.6981166666666665,237,8,Mini-Norwegian
hymj4,5,stroop,3.8632666666666666,237,37,Mini-English
idyh6,5,stroop,3.8752833333333334,237,38,Mini-Norwegian
jlos1,5,stroop,3.6052,237,55,Mini-English
jpxp4,5,stroop,3.7007,237,6,Mini-Norwegian
kixs9,5,stroop,3.8666,237,48,Mini-Norwegian
ksjo8,5,stroop,2.6822833333333334,237,17,Mini-English
kvrn1,5,stroop,2.8903666666666665,237,44,Mini-Norwegian
kwly7,5,stroop,3.9936,237,60,Mini-Norwegian
ltsl3,5,stroop,2.9974333333333334,237,18,Mini-Norwegian
mrbf1,5,stroop,3.26105,237,33,Mini-English
