"model","size","predictor","elpd","elpd_se","elpd_diff","elpd_diff_se","acc","acc_se","acc_diff","cv_prop_diag","suggested_size","is_suggested","n_folds","n_participants"
"p2_predictive_trajectory_gender",0,"(Intercept)",-5806.24399158951,111.534900907915,-705.263602413664,49.4450105746627,0.874730951356005,0.00280397725520668,0,NA,4,FALSE,10,56
"p2_predictive_trajectory_gender",1,"(1 | participant_lab_ID)",-5354.2362213018,82.7484409959591,-253.255832125954,27.3551315009642,0.874730951356005,0.00280397725520668,0,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",2,"z_session_time",-5247.86571662942,78.5324378046803,-146.885327453579,20.1739731835496,0.874730951356005,0.00280397725520668,0,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",3,"(z_session_time | participant_lab_ID)",-5357.24770606927,90.4717025933908,-256.267316893425,28.5607228946177,0.874730951356005,0.00280397725520668,0,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",4,"z_digit_span",-4965.50650152788,81.8464681580921,135.473887647964,20.5668307991048,0.874730951356005,0.00280397725520668,0,1,4,TRUE,10,56
"p2_predictive_trajectory_gender",5,"z_session_time:z_digit_span",-4978.13043119908,82.4857723808362,122.849957976764,19.817230608896,0.874730951356005,0.00280397725520668,0,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",6,"z_stroop",-5092.11627251026,85.4069441922602,8.86411666557957,23.192634606386,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",7,"z_session_time:z_stroop",-5092.0269564718,86.0742548156207,8.95343270404426,22.9790532997163,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",8,"z_asrt",-5171.78178736644,87.9858568208213,-70.8013981906003,23.9200817236268,0.874730951356005,0.00280397725520668,0,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",9,"z_session_time:z_asrt",-5149.89539244526,86.5315082685784,-48.9150032694131,22.6396700257722,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",10,"z_alpha",-5176.21909600653,86.545081480823,-75.2387068306887,22.4867863629342,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",11,"z_session_time:z_alpha",-5203.01462015755,87.3046271631505,-102.034230981711,22.5118978759712,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",12,"z_theta",-5138.79063614408,85.3709599522568,-37.8102469682394,20.2163641646138,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",13,"z_session_time:z_theta",-5127.86239908982,85.4574753300482,-26.8820099139732,19.9545917609122,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",14,"z_beta",-5207.77285712247,87.4020058768718,-106.792467946628,21.1383955779008,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",15,"z_session_time:z_beta",-5218.38499406299,88.6305286208987,-117.404604887144,21.9167528552745,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",16,"z_delta",-5243.8201503637,89.8021234008724,-142.839761187856,23.1016741772481,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",17,"z_session_time:z_delta",-5228.12618500383,88.742611205432,-127.145795827991,22.2155220946437,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",18,"z_gamma",-5279.73602581528,89.055994258062,-178.755636639441,23.3886680232529,0.874730951356005,0.00280397725520668,0,0.8,4,FALSE,10,56
"p2_predictive_trajectory_gender",19,"z_session_time:z_gamma",-5315.3167407638,90.0790397888372,-214.336351587958,23.9942112230302,0.874730951356005,0.00280397725520668,0,0.9,4,FALSE,10,56
"p2_predictive_trajectory_gender",20,"z_iaf",-5433.41100764038,89.529100339284,-332.430618464541,26.7052728630545,0.864112498206342,0.00290262044901563,-0.0106184531496628,1,4,FALSE,10,56
"p2_predictive_trajectory_gender",21,"z_session_time:z_iaf",-5466.14504057079,89.7092188712522,-365.164651394951,26.4472841649446,0.864112498206342,0.00290262044901563,-0.0106184531496628,1,4,FALSE,10,56
