"model","size","predictor","elpd","elpd_se","elpd_diff","elpd_diff_se","acc","acc_se","acc_diff","suggested_size","is_suggested","n_folds","n_participants"
"p2_predictive_trajectory",0,"(Intercept)",-16026.0751641159,141.715556975309,-1931.18336049942,80.730658167544,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",1,"(1 | participant_lab_ID)",-15189.1175745088,114.010636554158,-1094.22577089234,60.1923815774384,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",2,"z_session_time",-14416.2057595839,98.6325505898084,-321.313955967411,34.705681812056,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",3,"(z_session_time | participant_lab_ID)",-14420.1878263101,94.2303145277178,-325.296022693609,31.2263537082721,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",4,"grammatical_property",-14134.4257909593,92.6681462558932,-39.5339873427931,24.3920378310218,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",5,"z_session_time:grammatical_property",-14324.5175824801,116.246068172824,-229.625778863606,38.8684535340657,0.795569085066802,0.00234547408410978,0.0118044985624896,6,FALSE,10,56
"p2_predictive_trajectory",6,"z_digit_span",-14088.6765652302,109.998095339782,6.21523838627801,31.9627337764765,0.786267546084898,0.00238417875797319,0.00250295958058522,6,TRUE,10,56
"p2_predictive_trajectory",7,"z_session_time:z_digit_span",-13875.7882511145,107.40190904628,219.103552501988,28.6408074445487,0.792491121258245,0.00235848950317964,0.00872653475393215,6,FALSE,10,56
"p2_predictive_trajectory",8,"z_stroop",-14166.3162344322,109.981976462481,-71.4244308157242,31.0447908820695,0.781193979367495,0.00240451494577552,-0.00257060713681712,6,FALSE,10,56
"p2_predictive_trajectory",9,"z_session_time:z_stroop",-14139.2670450301,110.101851113,-44.3752414135885,31.4488395241696,0.7826822256046,0.00239860515751095,-0.00108236089971236,6,FALSE,10,56
"p2_predictive_trajectory",10,"z_asrt",-14309.3426154411,113.198285125421,-214.450811824596,32.2089734175626,0.782817520717064,0.00239806563270618,-0.000947065787248347,6,FALSE,10,56
"p2_predictive_trajectory",11,"z_session_time:z_asrt",-14496.5498964931,112.103301622318,-401.658092876627,32.2447342069159,0.781024860476915,0.00240518362289466,-0.00273972602739714,6,FALSE,10,56
"p2_predictive_trajectory",12,"z_alpha",-14452.941090464,112.896266056004,-358.049286847445,32.4750831478122,0.780788094030103,0.00240611878318603,-0.00297649247420928,6,FALSE,10,56
"p2_predictive_trajectory",13,"z_session_time:z_alpha",-14478.2769038172,113.09296758723,-383.385100200689,32.6957400386324,0.780314561136479,0.00240798565188925,-0.00345002536783345,6,FALSE,10,56
"p2_predictive_trajectory",14,"z_theta",-14542.4460660405,111.944691118596,-447.554262424013,31.1992076685348,0.775477760865889,0.00242679314427567,-0.00828682563842376,6,FALSE,10,56
"p2_predictive_trajectory",15,"z_session_time:z_theta",-14554.0402118268,112.205362468065,-459.148408210254,31.3567479469683,0.77767630644343,0.00241830298198455,-0.0060882800608828,6,FALSE,10,56
"p2_predictive_trajectory",16,"z_beta",-14521.9305656092,111.48415556747,-427.038761992646,31.3127267632119,0.777642482665314,0.00241843433764407,-0.00612210383899869,6,FALSE,10,56
"p2_predictive_trajectory",17,"z_session_time:z_beta",-14522.0021841912,111.679536598616,-427.110380574678,32.1677525580357,0.777642482665314,0.00241843433764407,-0.00612210383899869,6,FALSE,10,56
"p2_predictive_trajectory",18,"z_delta",-14500.3802490847,111.093489462519,-405.488445468223,30.3382467894597,0.778826314899374,0.00241382309769175,-0.0049382716049382,6,FALSE,10,56
"p2_predictive_trajectory",19,"z_session_time:z_delta",-14571.3450407188,113.858431961575,-476.453237102298,32.9051162954821,0.778927786233722,0.00241342652464593,-0.00483680027059019,6,FALSE,10,56
