session,index,n,mean,sd,median,min,max
1,digit_span,63,25.952380952380953,6.811822198133637,25,10,43
5,digit_span,54,28.35185185185185,7.503854122690496,28,12,44
1,stroop_interference,62,112.64724650705453,76.44138068802702,102.57031600738702,-47.902142628717684,306.6378531082762
5,stroop_interference,54,99.26032563973969,101.72094385058988,72.5327150580751,-56.35723270055064,521.4537483876111
1,asrt_learning,63,43.03304349706439,53.58740187717755,14.606483022746886,-2.3834690156126612,198.4344702796002
5,asrt_learning,54,35.53588341917263,49.325582809975806,14.454662029255303,-5.043802714869003,208.0218910970409
