"parameter","median","ci_low","ci_high","pd","model","suggested_size","solution_path","n_candidate_terms","n_participants","n_folds","base_rate","validate_search","cv_method"
"z_theta",0.11806126,-0.74557474025,0.96982444225,0.6071875,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_beta",-0.24249932,-1.0077021375,0.54177770625,0.7360625,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_delta",-0.260666425,-0.99921021075,0.482928346249997,0.755375,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_gamma",-0.159949365,-0.596657561,0.2759848385,0.77003125,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_iaf",0.075672939,-0.32127819325,0.47706292825,0.64984375,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:grammatical_propertygender_agreement",0.42489984,0.339784877,0.509910823,1,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:grammatical_propertyverb_object_number_agreement",0.20219097,0.059753653325,0.34341142675,0.99725,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_digit_span",-0.16894718,-0.4088693925,0.0727426963749999,0.91853125,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_stroop",-0.00390624425,-0.23007320775,0.22508011725,0.51390625,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_asrt",0.0739286645,-0.16135985575,0.30390989375,0.73784375,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_alpha",-0.1891493,-0.63891964625,0.261151305749999,0.7976875,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_theta",0.0401341305,-0.470886855,0.56010329175,0.56015625,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_beta",0.264891395,-0.19872041775,0.722590125,0.87065625,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_delta",-0.14353624,-0.57099012675,0.293129694249999,0.74734375,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_gamma",0.073302005,-0.17589926275,0.32213981475,0.725875,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time:z_iaf",-0.172699725,-0.4023457655,0.0563302162249996,0.93159375,"p2_predictive_trajectory_weakprior",NA,NA,NA,NA,NA,NA,NA,NA
