condition,band,n,mean,sd,median,min,max,n_participants_with_resolvable_alpha_peak
eyes_closed,delta,60,8.7972189203941,5.844198000868316,6.907305775823183,2.3371979994318695,31.071387829729737,NA
eyes_closed,theta,60,8.84938104193736,11.26975086258717,4.452539048241265,1.3328771561921808,65.15673363554946,NA
eyes_closed,alpha,60,47.181429289032074,49.40233302220481,29.151338981348076,1.290259096697144,224.4103887491633,NA
eyes_closed,beta,60,9.39882262142271,6.080771540327433,7.914959621318928,2.260934346326628,37.60169323608491,NA
eyes_closed,gamma,60,0.6459375265257845,0.5160445596596185,0.4775872904883152,0.13659218771084033,3.102428501891432,NA
eyes_closed,iaf,60,10.216666666666667,1.0867720305232755,10.5,7,12,NA
eyes_open,delta,60,8.149182715661304,4.240655066406201,6.903113991615744,2.267003916631705,23.02501232205018,NA
eyes_open,theta,60,6.0056395475065445,7.006374114484824,3.863149126465758,1.6138041116031845,41.828650371063354,NA
eyes_open,alpha,60,19.283039436937255,28.314109732452774,11.0601887590615,1.3868594818252697,150.13656160786775,NA
eyes_open,beta,60,7.494937473933392,4.947265882336569,6.030975565960242,2.297233208229413,31.897287035151734,NA
eyes_open,gamma,60,0.785840967496344,0.6321211473643253,0.5987722748245261,0.11012476683585543,3.102213695578584,NA
eyes_open,iaf,60,10.083333333333334,1.3313898264807709,10.5,7,13,NA
eyes_closed,alpha_peak_count,60,NA,NA,NA,NA,NA,57
eyes_open,alpha_peak_count,60,NA,NA,NA,NA,NA,54
