level,session,grammatical_property,mini_language,participant_lab_ID,n,mean_accuracy,se
group_cell,2,gender_agreement,Mini-English,NA,2610,0.9141692444611937,0.02603789259953588
group_cell,2,gender_agreement,Mini-Norwegian,NA,2326,0.9176021597169965,0.018040573529349038
group_cell,3,differential_object_marking,Mini-English,NA,2171,0.906747722194468,0.030256827449835894
group_cell,3,differential_object_marking,Mini-Norwegian,NA,2294,0.8222617814815825,0.0393248201453715
group_cell,3,gender_agreement,Mini-English,NA,2134,0.8986450210027576,0.029337060764922138
group_cell,3,gender_agreement,Mini-Norwegian,NA,2195,0.8144558020501249,0.037837804559457504
group_cell,4,differential_object_marking,Mini-English,NA,1820,0.743958246496254,0.03650352895653801
group_cell,4,differential_object_marking,Mini-Norwegian,NA,2040,0.7249786799314923,0.042436474134868056
group_cell,4,gender_agreement,Mini-English,NA,1818,0.902740881207452,0.028124183757678823
group_cell,4,gender_agreement,Mini-Norwegian,NA,2038,0.823887488745576,0.03935996264914786
group_cell,4,verb_object_number_agreement,Mini-English,NA,1800,0.7173209930781684,0.04358260668684507
group_cell,4,verb_object_number_agreement,Mini-Norwegian,NA,2025,0.7444747034642479,0.04535760728549361
group_cell,6,differential_object_marking,Mini-English,NA,1323,0.629094239113519,0.04283245997330483
group_cell,6,differential_object_marking,Mini-Norwegian,NA,1485,0.5891200772654192,0.05821210569037885
group_cell,6,gender_agreement,Mini-English,NA,1328,0.8671960506626769,0.037828443541483084
group_cell,6,gender_agreement,Mini-Norwegian,NA,1467,0.7554218564874956,0.047406634530660435
group_cell,6,verb_object_number_agreement,Mini-English,NA,1286,0.6239864440094287,0.040024034266311764
group_cell,6,verb_object_number_agreement,Mini-Norwegian,NA,1476,0.5773277307862046,0.03261027183586098
participant,2,NA,Mini-English,1,76,0.6710526315789473,0.053893290915074034
participant,2,NA,Mini-English,11,86,1,0
participant,2,NA,Mini-English,13,95,1,0
participant,2,NA,Mini-English,15,89,0.9662921348314607,0.01913043489474324
participant,2,NA,Mini-English,17,72,0.8611111111111112,0.04075652051309955
participant,2,NA,Mini-English,19,60,0.9833333333333333,0.016527194200715044
participant,2,NA,Mini-English,21,89,0.9775280898876404,0.01571048578778941
participant,2,NA,Mini-English,23,66,0.9848484848484849,0.015036292831784029
participant,2,NA,Mini-English,25,73,0.9452054794520548,0.026636076335416026
