level,session,grammatical_property,mini_language,participant_lab_ID,n,mean_accuracy,se
participant,2,NA,Mini-English,27,38,0.9473684210526315,0.03622353692693082
participant,2,NA,Mini-English,29,68,0.9852941176470589,0.014597350372565895
participant,2,NA,Mini-English,3,88,0.9886363636363636,0.011298885771811646
participant,2,NA,Mini-English,31,94,0.9680851063829787,0.018129655141723582
participant,2,NA,Mini-English,33,93,0.946236559139785,0.023388475538888245
participant,2,NA,Mini-English,35,90,0.9444444444444444,0.024145194093343147
participant,2,NA,Mini-English,37,85,0.9647058823529412,0.020014242842234475
participant,2,NA,Mini-English,39,74,0.9864864864864865,0.013421895416371761
participant,2,NA,Mini-English,41,54,0.9444444444444444,0.03117131153815457
participant,2,NA,Mini-English,43,93,0.4838709677419355,0.051820601864677344
participant,2,NA,Mini-English,45,70,0.9714285714285714,0.019912344355347705
participant,2,NA,Mini-English,47,61,0.9672131147540983,0.02280059871293783
participant,2,NA,Mini-English,49,72,0.9722222222222222,0.019367130243844344
participant,2,NA,Mini-English,5,85,0.9764705882352941,0.016440902560995577
participant,2,NA,Mini-English,51,85,0.4823529411764706,0.054198825830007756
participant,2,NA,Mini-English,53,91,1,0
participant,2,NA,Mini-English,55,83,0.9759036144578314,0.016832180075559013
participant,2,NA,Mini-English,57,89,0.9213483146067416,0.02853454397311203
participant,2,NA,Mini-English,59,89,0.898876404494382,0.03195812111056027
participant,2,NA,Mini-English,61,56,0.9821428571428571,0.017696985874377076
participant,2,NA,Mini-English,63,79,0.4936708860759494,0.05624988802429771
participant,2,NA,Mini-English,65,87,1,0
participant,2,NA,Mini-English,7,87,0.9770114942528736,0.016067399116695302
participant,2,NA,Mini-English,9,93,1,0
participant,2,NA,Mini-Norwegian,10,92,0.9891304347826086,0.01081033008856134
participant,2,NA,Mini-Norwegian,12,92,0.9565217391304348,0.021261288996601114
participant,2,NA,Mini-Norwegian,14,83,0.9879518072289156,0.011975393356738494
participant,2,NA,Mini-Norwegian,16,58,1,0
participant,2,NA,Mini-Norwegian,18,89,0.5730337078651685,0.052431450969199433
participant,2,NA,Mini-Norwegian,2,71,0.9014084507042254,0.03537948313367657
participant,2,NA,Mini-Norwegian,20,86,0.7093023255813954,0.04896516755606224
participant,2,NA,Mini-Norwegian,22,94,0.9893617021276596,0.01058155987913606
participant,2,NA,Mini-Norwegian,24,96,0.9270833333333334,0.026536104804918
participant,2,NA,Mini-Norwegian,26,85,0.9176470588235294,0.029817273765002764
participant,2,NA,Mini-Norwegian,28,93,0.967741935483871,0.018321349491840794
participant,2,NA,Mini-Norwegian,30,61,1,0
participant,2,NA,Mini-Norwegian,32,85,0.9882352941176471,0.011695296982299002
participant,2,NA,Mini-Norwegian,34,93,0.7634408602150538,0.044067264466015686
participant,2,NA,Mini-Norwegian,36,84,0.9285714285714286,0.02809984973105154
participant,2,NA,Mini-Norwegian,38,88,0.8295454545454546,0.04008510738365845
participant,2,NA,Mini-Norwegian,40,51,0.9607843137254902,0.02718052078759497
participant,2,NA,Mini-Norwegian,42,83,0.7590361445783133,0.04694270742881184
participant,2,NA,Mini-Norwegian,44,44,0.9772727272727273,0.022467523936912745
participant,2,NA,Mini-Norwegian,46,80,0.925,0.02944804747347436
participant,2,NA,Mini-Norwegian,48,39,0.9743589743589743,0.025310159835529474
participant,2,NA,Mini-Norwegian,52,89,0.898876404494382,0.03195812111056027
participant,2,NA,Mini-Norwegian,54,76,0.9342105263157895,0.02843765545627031
participant,2,NA,Mini-Norwegian,56,67,0.9701492537313433,0.020790238530309813
participant,2,NA,Mini-Norwegian,58,52,0.9423076923076923,0.03233356951833491
participant,2,NA,Mini-Norwegian,6,94,0.9148936170212766,0.02878077197872763
participant,2,NA,Mini-Norwegian,60,57,0.8947368421052632,0.04064886556427542
participant,2,NA,Mini-Norwegian,62,67,0.9701492537313433,0.020790238530309813
participant,2,NA,Mini-Norwegian,64,94,0.9893617021276596,0.01058155987913606
participant,2,NA,Mini-Norwegian,8,83,0.9879518072289156,0.011975393356738494
participant,3,NA,Mini-English,11,144,0.9930555555555556,0.006920289781887371
participant,3,NA,Mini-English,13,183,0.994535519125683,0.005449530146233329
participant,3,NA,Mini-English,15,155,0.9354838709677419,0.01973269730053455
participant,3,NA,Mini-English,17,129,0.6511627906976745,0.04196249808820081
participant,3,NA,Mini-English,19,118,0.9745762711864406,0.01449060561447849
participant,3,NA,Mini-English,21,177,0.9830508474576272,0.009702314585073502
participant,3,NA,Mini-English,23,76,0.9605263157894737,0.022335808064917095
participant,3,NA,Mini-English,25,125,1,0
participant,3,NA,Mini-English,27,157,0.9872611464968153,0.008950171728989448
participant,3,NA,Mini-English,29,168,0.9880952380952381,0.00836768107660175
participant,3,NA,Mini-English,3,177,0.9887005649717514,0.007944638172079316
participant,3,NA,Mini-English,31,184,0.9836956521739131,0.009336265216666653
participant,3,NA,Mini-English,33,163,0.9447852760736196,0.017889582633427905
participant,3,NA,Mini-English,37,136,1,0
participant,3,NA,Mini-English,39,107,0.9813084112149533,0.013092843623410422
participant,3,NA,Mini-English,41,55,0.7636363636363637,0.05728649972147095
participant,3,NA,Mini-English,43,182,0.6593406593406593,0.035130099980219834
participant,3,NA,Mini-English,47,155,0.9032258064516129,0.023747183060305373
participant,3,NA,Mini-English,49,157,0.7388535031847133,0.03505673327443812
participant,3,NA,Mini-English,5,181,0.988950276243094,0.00777004709336828
participant,3,NA,Mini-English,51,177,0.4915254237288136,0.03757690280765505
participant,3,NA,Mini-English,53,179,0.994413407821229,0.005570965316891329
participant,3,NA,Mini-English,55,160,0.94375,0.01821502427599261
participant,3,NA,Mini-English,57,164,0.7317073170731707,0.03459801552312992
participant,3,NA,Mini-English,59,177,0.655367231638418,0.03572185576481947
participant,3,NA,Mini-English,61,106,1,0
participant,3,NA,Mini-English,65,184,0.9021739130434783,0.0219009806792657
participant,3,NA,Mini-English,7,154,0.961038961038961,0.015592846429275926
participant,3,NA,Mini-English,9,75,1,0
participant,3,NA,Mini-Norwegian,10,170,1,0
participant,3,NA,Mini-Norwegian,12,181,0.9226519337016574,0.019856577314387894
participant,3,NA,Mini-Norwegian,14,154,0.9935064935064936,0.006472389343295318
participant,3,NA,Mini-Norwegian,16,149,1,0
participant,3,NA,Mini-Norwegian,18,183,0.4808743169398907,0.03693401354501877
participant,3,NA,Mini-Norwegian,20,175,0.4514285714285714,0.03761768705022607
participant,3,NA,Mini-Norwegian,22,167,0.9101796407185628,0.02212548079114814
participant,3,NA,Mini-Norwegian,24,184,0.6086956521739131,0.03597895332830677
participant,3,NA,Mini-Norwegian,26,185,0.9945945945945946,0.005390776405901535
participant,3,NA,Mini-Norwegian,28,173,0.9017341040462428,0.022631722281921597
participant,3,NA,Mini-Norwegian,30,165,0.9575757575757575,0.01569103702445629
participant,3,NA,Mini-Norwegian,32,178,0.9382022471910112,0.018047812677818884
participant,3,NA,Mini-Norwegian,34,187,0.6524064171122995,0.03482364155021898
participant,3,NA,Mini-Norwegian,36,179,0.9608938547486033,0.0144888426838822
participant,3,NA,Mini-Norwegian,38,179,0.6480446927374302,0.035696013967125635
participant,3,NA,Mini-Norwegian,40,134,0.9253731343283582,0.02270145248026972
participant,3,NA,Mini-Norwegian,42,130,0.7923076923076923,0.03557832237772705
participant,3,NA,Mini-Norwegian,44,127,0.889763779527559,0.027790583032079985
participant,3,NA,Mini-Norwegian,48,84,1,0
participant,3,NA,Mini-Norwegian,50,167,0.9940119760479041,0.005970068817367324
participant,3,NA,Mini-Norwegian,52,184,0.6847826086956522,0.03425094314185643
participant,3,NA,Mini-Norwegian,54,151,0.8079470198675497,0.03205630734753411
participant,3,NA,Mini-Norwegian,56,161,0.9813664596273292,0.010657377681331938
participant,3,NA,Mini-Norwegian,58,120,0.925,0.024044230077089175
participant,3,NA,Mini-Norwegian,6,191,0.5078534031413613,0.03617426727488568
participant,3,NA,Mini-Norwegian,60,163,0.7852760736196319,0.03216307773595172
participant,3,NA,Mini-Norwegian,62,116,0.7327586206896551,0.04108689535340263
participant,3,NA,Mini-Norwegian,8,152,0.5131578947368421,0.040541310137582776
participant,4,NA,Mini-English,11,236,0.7584745762711864,0.027860951154677942
participant,4,NA,Mini-English,13,158,0.9746835443037974,0.012496969953559013
participant,4,NA,Mini-English,15,198,0.7525252525252525,0.030668560287143393
participant,4,NA,Mini-English,17,229,0.5938864628820961,0.0324532133563166
participant,4,NA,Mini-English,19,184,0.7065217391304348,0.033569264156573464
participant,4,NA,Mini-English,21,231,0.6883116883116883,0.030475219373561093
participant,4,NA,Mini-English,23,145,0.7724137931034483,0.034818814308378195
participant,4,NA,Mini-English,25,207,0.9806763285024155,0.009568029296846041
participant,4,NA,Mini-English,27,274,0.9817518248175182,0.008086029062748766
participant,4,NA,Mini-English,29,218,0.8211009174311926,0.025958170376362937
participant,4,NA,Mini-English,31,232,0.8189655172413793,0.025279557538799947
participant,4,NA,Mini-English,33,182,0.8791208791208791,0.02416374532212199
participant,4,NA,Mini-English,37,217,0.9815668202764977,0.0091312492290416
participant,4,NA,Mini-English,39,162,0.8950617283950617,0.024078861017204335
participant,4,NA,Mini-English,41,103,0.6504854368932039,0.046982142164441805
participant,4,NA,Mini-English,43,279,0.4874551971326165,0.029924793901370362
participant,4,NA,Mini-English,47,197,0.6954314720812182,0.032789634034285524
participant,4,NA,Mini-English,49,197,0.6294416243654822,0.03440906989108645
participant,4,NA,Mini-English,51,253,0.4782608695652174,0.031405005152809355
participant,4,NA,Mini-English,53,276,0.9891304347826086,0.006241346986659601
participant,4,NA,Mini-English,55,205,0.6341463414634146,0.03364120289256084
participant,4,NA,Mini-English,57,219,0.8082191780821918,0.026603887711771367
participant,4,NA,Mini-English,61,187,0.8983957219251337,0.02209372945035331
participant,4,NA,Mini-English,65,277,0.7833935018050542,0.024750606099472047
participant,4,NA,Mini-English,7,262,0.9427480916030534,0.014352982957492481
participant,4,NA,Mini-English,9,110,0.9181818181818182,0.026133219358118392
participant,4,NA,Mini-Norwegian,10,275,0.9927272727272727,0.005123860302809289
participant,4,NA,Mini-Norwegian,12,260,0.9692307692307692,0.010709895712898241
participant,4,NA,Mini-Norwegian,14,150,0.9533333333333334,0.017221863795553384
participant,4,NA,Mini-Norwegian,16,97,1,0
participant,4,NA,Mini-Norwegian,18,273,0.5164835164835165,0.030244927748655365
participant,4,NA,Mini-Norwegian,22,253,0.9723320158102767,0.010311831119158298
participant,4,NA,Mini-Norwegian,24,278,0.8093525179856115,0.0235592792526923
participant,4,NA,Mini-Norwegian,26,233,0.7725321888412017,0.027462514916096803
participant,4,NA,Mini-Norwegian,28,255,0.6705882352941176,0.029432518629226412
participant,4,NA,Mini-Norwegian,30,240,0.8083333333333333,0.02540755756623374
participant,4,NA,Mini-Norwegian,32,246,0.9308943089430894,0.01617109919795658
participant,4,NA,Mini-Norwegian,34,276,0.4927536231884058,0.030093302376273008
participant,4,NA,Mini-Norwegian,36,250,0.684,0.02940367323992021
participant,4,NA,Mini-Norwegian,38,271,0.5313653136531366,0.030313017498877173
participant,4,NA,Mini-Norwegian,40,192,0.671875,0.033885452290815375
participant,4,NA,Mini-Norwegian,42,262,0.5114503816793893,0.03088200201897516
participant,4,NA,Mini-Norwegian,44,185,0.6810810810810811,0.03426523272029118
participant,4,NA,Mini-Norwegian,48,231,1,0
participant,4,NA,Mini-Norwegian,50,243,0.9876543209876543,0.007083645809249978
participant,4,NA,Mini-Norwegian,52,233,0.8068669527896996,0.02586135643369088
participant,4,NA,Mini-Norwegian,54,253,0.6561264822134387,0.02986296247648852
participant,4,NA,Mini-Norwegian,56,219,0.8356164383561644,0.02504439950565265
participant,4,NA,Mini-Norwegian,58,233,0.6223175965665236,0.03176080165487749
participant,4,NA,Mini-Norwegian,60,225,0.8266666666666667,0.02523567922947269
participant,4,NA,Mini-Norwegian,62,192,0.5416666666666666,0.03595888051598608
participant,4,NA,Mini-Norwegian,8,278,0.6438848920863309,0.02871950292583164
participant,6,NA,Mini-English,11,216,0.6435185185185185,0.03258908267280409
participant,6,NA,Mini-English,13,241,0.6473029045643154,0.030778411245284975
participant,6,NA,Mini-English,15,266,0.556390977443609,0.030461368216482484
participant,6,NA,Mini-English,17,208,0.4951923076923077,0.03466715956605391
participant,6,NA,Mini-English,19,230,0.6608695652173913,0.031216006414405518
participant,6,NA,Mini-English,21,257,0.6926070038910506,0.028782191725337
participant,6,NA,Mini-English,23,108,0.8703703703703703,0.032321559819763396
participant,6,NA,Mini-English,25,242,0.859504132231405,0.02233819496216154
participant,6,NA,Mini-English,27,266,0.6428571428571429,0.02937902663073652
participant,6,NA,Mini-English,29,247,0.8299595141700404,0.023903205535093376
participant,6,NA,Mini-English,3,235,0.8085106382978723,0.025667363668470698
participant,6,NA,Mini-English,33,243,0.7448559670781894,0.02796570175841022
participant,6,NA,Mini-English,37,196,0.6632653061224489,0.03375666523880295
participant,6,NA,Mini-English,43,285,0.5403508771929825,0.02952084049519943
participant,6,NA,Mini-English,5,259,0.6988416988416989,0.028506043442541415
participant,6,NA,Mini-English,7,278,0.8776978417266187,0.019650209177045252
participant,6,NA,Mini-English,9,160,0.79375,0.031987393757150644
participant,6,NA,Mini-Norwegian,10,215,0.7534883720930232,0.029392582928796537
participant,6,NA,Mini-Norwegian,12,268,0.75,0.026450460594697436
participant,6,NA,Mini-Norwegian,14,204,0.4852941176470588,0.03499185738785619
participant,6,NA,Mini-Norwegian,16,148,0.6756756756756757,0.03847937820618239
participant,6,NA,Mini-Norwegian,18,277,0.5703971119133574,0.02974283559847237
participant,6,NA,Mini-Norwegian,20,253,0.549407114624506,0.031280885892684525
participant,6,NA,Mini-Norwegian,22,205,0.9560975609756097,0.014309303620645022
participant,6,NA,Mini-Norwegian,24,279,0.7347670250896058,0.02642935019485905
participant,6,NA,Mini-Norwegian,26,259,0.6563706563706564,0.02951004133967855
participant,6,NA,Mini-Norwegian,30,228,0.8114035087719298,0.025907041541314207
participant,6,NA,Mini-Norwegian,32,276,0.6666666666666666,0.028375217691958287
participant,6,NA,Mini-Norwegian,34,279,0.5053763440860215,0.02993248645282037
participant,6,NA,Mini-Norwegian,36,272,0.6029411764705882,0.029667465480554524
participant,6,NA,Mini-Norwegian,38,288,0.4965277777777778,0.029462072114983195
participant,6,NA,Mini-Norwegian,40,182,0.7967032967032966,0.029831684767602413
participant,6,NA,Mini-Norwegian,42,235,0.5106382978723404,0.032609020199571806
participant,6,NA,Mini-Norwegian,6,285,0.49473684210526314,0.029615802986881972
participant,6,NA,Mini-Norwegian,8,275,0.48727272727272725,0.030141364904181133
participant_cell,2,gender_agreement,Mini-English,1,76,0.6710526315789473,0.053893290915074034
participant_cell,2,gender_agreement,Mini-English,11,86,1,0
participant_cell,2,gender_agreement,Mini-English,13,95,1,0
participant_cell,2,gender_agreement,Mini-English,15,89,0.9662921348314607,0.01913043489474324
participant_cell,2,gender_agreement,Mini-English,17,72,0.8611111111111112,0.04075652051309955
participant_cell,2,gender_agreement,Mini-English,19,60,0.9833333333333333,0.016527194200715044
participant_cell,2,gender_agreement,Mini-English,21,89,0.9775280898876404,0.01571048578778941
participant_cell,2,gender_agreement,Mini-English,23,66,0.9848484848484849,0.015036292831784029
participant_cell,2,gender_agreement,Mini-English,25,73,0.9452054794520548,0.026636076335416026
participant_cell,2,gender_agreement,Mini-English,27,38,0.9473684210526315,0.03622353692693082
participant_cell,2,gender_agreement,Mini-English,29,68,0.9852941176470589,0.014597350372565895
participant_cell,2,gender_agreement,Mini-English,3,88,0.9886363636363636,0.011298885771811646
participant_cell,2,gender_agreement,Mini-English,31,94,0.9680851063829787,0.018129655141723582
participant_cell,2,gender_agreement,Mini-English,33,93,0.946236559139785,0.023388475538888245
participant_cell,2,gender_agreement,Mini-English,35,90,0.9444444444444444,0.024145194093343147
participant_cell,2,gender_agreement,Mini-English,37,85,0.9647058823529412,0.020014242842234475
participant_cell,2,gender_agreement,Mini-English,39,74,0.9864864864864865,0.013421895416371761
participant_cell,2,gender_agreement,Mini-English,41,54,0.9444444444444444,0.03117131153815457
participant_cell,2,gender_agreement,Mini-English,43,93,0.4838709677419355,0.051820601864677344
participant_cell,2,gender_agreement,Mini-English,45,70,0.9714285714285714,0.019912344355347705
participant_cell,2,gender_agreement,Mini-English,47,61,0.9672131147540983,0.02280059871293783
participant_cell,2,gender_agreement,Mini-English,49,72,0.9722222222222222,0.019367130243844344
participant_cell,2,gender_agreement,Mini-English,5,85,0.9764705882352941,0.016440902560995577
participant_cell,2,gender_agreement,Mini-English,51,85,0.4823529411764706,0.054198825830007756
participant_cell,2,gender_agreement,Mini-English,53,91,1,0
participant_cell,2,gender_agreement,Mini-English,55,83,0.9759036144578314,0.016832180075559013
participant_cell,2,gender_agreement,Mini-English,57,89,0.9213483146067416,0.02853454397311203
participant_cell,2,gender_agreement,Mini-English,59,89,0.898876404494382,0.03195812111056027
participant_cell,2,gender_agreement,Mini-English,61,56,0.9821428571428571,0.017696985874377076
participant_cell,2,gender_agreement,Mini-English,63,79,0.4936708860759494,0.05624988802429771
participant_cell,2,gender_agreement,Mini-English,65,87,1,0
participant_cell,2,gender_agreement,Mini-English,7,87,0.9770114942528736,0.016067399116695302
participant_cell,2,gender_agreement,Mini-English,9,93,1,0
participant_cell,2,gender_agreement,Mini-Norwegian,10,92,0.9891304347826086,0.01081033008856134
participant_cell,2,gender_agreement,Mini-Norwegian,12,92,0.9565217391304348,0.021261288996601114
participant_cell,2,gender_agreement,Mini-Norwegian,14,83,0.9879518072289156,0.011975393356738494
participant_cell,2,gender_agreement,Mini-Norwegian,16,58,1,0
participant_cell,2,gender_agreement,Mini-Norwegian,18,89,0.5730337078651685,0.052431450969199433
participant_cell,2,gender_agreement,Mini-Norwegian,2,71,0.9014084507042254,0.03537948313367657
participant_cell,2,gender_agreement,Mini-Norwegian,20,86,0.7093023255813954,0.04896516755606224
participant_cell,2,gender_agreement,Mini-Norwegian,22,94,0.9893617021276596,0.01058155987913606
participant_cell,2,gender_agreement,Mini-Norwegian,24,96,0.9270833333333334,0.026536104804918
participant_cell,2,gender_agreement,Mini-Norwegian,26,85,0.9176470588235294,0.029817273765002764
participant_cell,2,gender_agreement,Mini-Norwegian,28,93,0.967741935483871,0.018321349491840794
participant_cell,2,gender_agreement,Mini-Norwegian,30,61,1,0
participant_cell,2,gender_agreement,Mini-Norwegian,32,85,0.9882352941176471,0.011695296982299002
participant_cell,2,gender_agreement,Mini-Norwegian,34,93,0.7634408602150538,0.044067264466015686
participant_cell,2,gender_agreement,Mini-Norwegian,36,84,0.9285714285714286,0.02809984973105154
participant_cell,2,gender_agreement,Mini-Norwegian,38,88,0.8295454545454546,0.04008510738365845
participant_cell,2,gender_agreement,Mini-Norwegian,40,51,0.9607843137254902,0.02718052078759497
participant_cell,2,gender_agreement,Mini-Norwegian,42,83,0.7590361445783133,0.04694270742881184
participant_cell,2,gender_agreement,Mini-Norwegian,44,44,0.9772727272727273,0.022467523936912745
participant_cell,2,gender_agreement,Mini-Norwegian,46,80,0.925,0.02944804747347436
participant_cell,2,gender_agreement,Mini-Norwegian,48,39,0.9743589743589743,0.025310159835529474
participant_cell,2,gender_agreement,Mini-Norwegian,52,89,0.898876404494382,0.03195812111056027
participant_cell,2,gender_agreement,Mini-Norwegian,54,76,0.9342105263157895,0.02843765545627031
participant_cell,2,gender_agreement,Mini-Norwegian,56,67,0.9701492537313433,0.020790238530309813
participant_cell,2,gender_agreement,Mini-Norwegian,58,52,0.9423076923076923,0.03233356951833491
participant_cell,2,gender_agreement,Mini-Norwegian,6,94,0.9148936170212766,0.02878077197872763
participant_cell,2,gender_agreement,Mini-Norwegian,60,57,0.8947368421052632,0.04064886556427542
participant_cell,2,gender_agreement,Mini-Norwegian,62,67,0.9701492537313433,0.020790238530309813
participant_cell,2,gender_agreement,Mini-Norwegian,64,94,0.9893617021276596,0.01058155987913606
participant_cell,2,gender_agreement,Mini-Norwegian,8,83,0.9879518072289156,0.011975393356738494
participant_cell,3,differential_object_marking,Mini-English,11,76,0.9868421052631579,0.013071042997352424
participant_cell,3,differential_object_marking,Mini-English,13,94,1,0
participant_cell,3,differential_object_marking,Mini-English,15,78,0.9743589743589743,0.017896985652618283
participant_cell,3,differential_object_marking,Mini-English,17,69,0.43478260869565216,0.05967869183390838
participant_cell,3,differential_object_marking,Mini-English,19,66,0.9848484848484849,0.015036292831784029
participant_cell,3,differential_object_marking,Mini-English,21,90,0.9888888888888889,0.01104921028901946
participant_cell,3,differential_object_marking,Mini-English,23,49,0.9591836734693877,0.028266354853739545
participant_cell,3,differential_object_marking,Mini-English,25,61,1,0
participant_cell,3,differential_object_marking,Mini-English,27,84,1,0
participant_cell,3,differential_object_marking,Mini-English,29,89,0.9887640449438202,0.011172653397216318
participant_cell,3,differential_object_marking,Mini-English,3,87,0.9885057471264368,0.011428003025660402
participant_cell,3,differential_object_marking,Mini-English,31,90,0.9888888888888889,0.01104921028901946
participant_cell,3,differential_object_marking,Mini-English,33,78,0.9487179487179487,0.024974911128497812
participant_cell,3,differential_object_marking,Mini-English,37,65,1,0
participant_cell,3,differential_object_marking,Mini-English,39,60,0.9833333333333333,0.016527194200715044
participant_cell,3,differential_object_marking,Mini-English,41,18,1,0
participant_cell,3,differential_object_marking,Mini-English,43,90,0.8444444444444444,0.03820384283919297
participant_cell,3,differential_object_marking,Mini-English,47,71,0.971830985915493,0.019635954637023313
participant_cell,3,differential_object_marking,Mini-English,49,86,0.7209302325581395,0.0483675165285265
participant_cell,3,differential_object_marking,Mini-English,5,91,0.989010989010989,0.010928465013161451
participant_cell,3,differential_object_marking,Mini-English,51,88,0.48863636363636365,0.05328641176874814
participant_cell,3,differential_object_marking,Mini-English,53,89,0.9887640449438202,0.011172653397216318
participant_cell,3,differential_object_marking,Mini-English,55,74,0.8918918918918919,0.03609685639329682
participant_cell,3,differential_object_marking,Mini-English,57,82,0.9024390243902439,0.032767256047401334
participant_cell,3,differential_object_marking,Mini-English,59,87,0.5057471264367817,0.053602085494867426
participant_cell,3,differential_object_marking,Mini-English,61,51,1,0
participant_cell,3,differential_object_marking,Mini-English,65,92,0.8043478260869565,0.041359032549569436
participant_cell,3,differential_object_marking,Mini-English,7,76,0.9605263157894737,0.022335808064917095
participant_cell,3,differential_object_marking,Mini-English,9,40,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,10,89,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,12,94,0.9893617021276596,0.01058155987913606
participant_cell,3,differential_object_marking,Mini-Norwegian,14,83,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,16,72,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,18,91,0.4945054945054945,0.052411077011539936
participant_cell,3,differential_object_marking,Mini-Norwegian,20,89,0.449438202247191,0.05272820968626895
participant_cell,3,differential_object_marking,Mini-Norwegian,22,88,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,24,90,0.43333333333333335,0.05223404121574737
participant_cell,3,differential_object_marking,Mini-Norwegian,26,92,0.9891304347826086,0.01081033008856134
participant_cell,3,differential_object_marking,Mini-Norwegian,28,88,0.8295454545454546,0.04008510738365845
participant_cell,3,differential_object_marking,Mini-Norwegian,30,82,0.9390243902439024,0.026424670838333345
participant_cell,3,differential_object_marking,Mini-Norwegian,32,90,0.8777777777777778,0.03452598870050791
participant_cell,3,differential_object_marking,Mini-Norwegian,34,95,0.8210526315789474,0.03932659576261507
participant_cell,3,differential_object_marking,Mini-Norwegian,36,86,0.9651162790697675,0.01978572628104758
participant_cell,3,differential_object_marking,Mini-Norwegian,38,94,0.5106382978723404,0.05155938804854268
participant_cell,3,differential_object_marking,Mini-Norwegian,40,69,0.9420289855072463,0.02813280512539924
participant_cell,3,differential_object_marking,Mini-Norwegian,42,67,0.8656716417910447,0.041660362777033735
participant_cell,3,differential_object_marking,Mini-Norwegian,44,65,0.8769230769230769,0.04074857129781272
participant_cell,3,differential_object_marking,Mini-Norwegian,48,56,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,50,83,1,0
participant_cell,3,differential_object_marking,Mini-Norwegian,52,91,0.8571428571428571,0.036682327929506826
participant_cell,3,differential_object_marking,Mini-Norwegian,54,72,0.6944444444444444,0.0542872194424008
participant_cell,3,differential_object_marking,Mini-Norwegian,56,85,0.9764705882352941,0.016440902560995577
participant_cell,3,differential_object_marking,Mini-Norwegian,58,72,0.9861111111111112,0.0137921010275613
participant_cell,3,differential_object_marking,Mini-Norwegian,6,95,0.5052631578947369,0.05129607548022969
participant_cell,3,differential_object_marking,Mini-Norwegian,60,84,0.9761904761904762,0.01663424121442315
participant_cell,3,differential_object_marking,Mini-Norwegian,62,54,0.5185185185185185,0.06799469811464323
participant_cell,3,differential_object_marking,Mini-Norwegian,8,78,0.5256410256410257,0.05653935976482544
participant_cell,3,gender_agreement,Mini-English,11,68,1,0
participant_cell,3,gender_agreement,Mini-English,13,89,0.9887640449438202,0.011172653397216318
participant_cell,3,gender_agreement,Mini-English,15,77,0.8961038961038961,0.03477230266109402
participant_cell,3,gender_agreement,Mini-English,17,60,0.9,0.03872983346207417
participant_cell,3,gender_agreement,Mini-English,19,52,0.9615384615384616,0.02666827866467447
participant_cell,3,gender_agreement,Mini-English,21,87,0.9770114942528736,0.016067399116695302
participant_cell,3,gender_agreement,Mini-English,23,27,0.9629629629629629,0.036344694923159886
participant_cell,3,gender_agreement,Mini-English,25,64,1,0
